ID,Brand Name,Brand Logo,Importance,Products Identifier,Created,Updated
138,Otoki,,,,2025-09-06T03:03:37.223Z,2025-09-06T03:03:37.223Z
137,Ramen Noodle Soup,,,,2025-09-06T02:58:06.040Z,2025-09-06T02:58:06.040Z
136,samyang,,,,2025-09-06T02:51:10.608Z,2025-09-06T02:51:10.608Z
135,Del Valle,,,,2025-09-01T23:35:24.451Z,2025-09-01T23:35:24.451Z
134,La India,,,,2025-06-27T05:50:30.015Z,2025-06-27T05:50:30.015Z
133,Deli Barras,,,,2025-06-24T18:47:43.520Z,2025-06-24T18:47:43.520Z
132,New Mix,,,,2025-06-23T15:57:56.388Z,2025-06-23T15:57:56.388Z
131,Ricolino,,,,2025-06-19T04:48:24.746Z,2025-06-19T04:48:24.746Z
98,Alpura,,,,2025-05-25T04:49:27.223Z,2025-05-25T04:49:27.223Z
97,Suerox,,,,2025-05-25T04:08:03.058Z,2025-05-25T04:08:03.058Z
96,Pepes,,,,2025-05-25T04:07:52.060Z,2025-05-25T04:07:52.060Z
95,Peñafiel,,,,2025-05-25T04:07:36.477Z,2025-05-25T04:07:36.477Z
94,El Aguila,,,,2025-05-19T20:02:49.678Z,2025-05-19T20:02:49.678Z
93,Del Rio,,,,2025-05-19T19:54:53.103Z,2025-05-19T19:54:53.103Z
92,Tipicos,,,,2025-05-19T16:34:29.610Z,2025-05-19T16:34:29.610Z
91,Tinajita,,,,2025-05-19T16:31:44.585Z,2025-05-19T16:31:44.585Z
90,Pavito,,,,2025-05-19T16:27:24.296Z,2025-05-19T16:27:24.296Z
89,Chaca Chaca,,,,2025-05-19T16:17:06.673Z,2025-05-19T16:17:06.673Z
88,Cisne,,,,2025-05-19T16:13:14.473Z,2025-05-19T16:13:14.473Z
87,Las Dos Victorias,,,,2025-04-21T21:04:00.756Z,2025-04-21T21:04:00.756Z
86,Tepachito,,,,2025-04-21T20:57:35.605Z,2025-04-21T20:57:35.605Z
85,Tuny,,,,2025-04-21T20:51:03.008Z,2025-04-21T20:51:03.008Z
84,Tres Reyes,,,,2025-04-21T20:49:18.544Z,2025-04-21T20:49:18.544Z
83,Molina,,,,2025-04-21T20:47:15.142Z,2025-04-21T20:47:15.142Z
82,Mccormick ,,,,2025-04-21T20:44:28.602Z,2025-04-21T20:44:28.602Z
81,La Sirena,,,,2025-04-21T20:38:24.203Z,2025-04-21T20:38:24.203Z
80,La Morena,,,,2025-04-21T20:35:02.348Z,2025-04-21T20:35:02.348Z
79,Pigui,,,,2025-04-21T20:30:43.789Z,2025-04-21T20:30:43.789Z
78,Del Monte,,,,2025-04-21T20:28:40.628Z,2025-04-21T20:28:40.628Z
77,Del Fuerte,,,,2025-04-21T20:26:55.380Z,2025-04-21T20:26:55.380Z
76,Anahuac,,,,2025-04-20T20:12:15.563Z,2025-04-20T20:12:15.563Z
75,Alvbro,,,,2025-04-20T19:18:57.213Z,2025-04-20T19:19:17.367Z
74,Flix,,,,2025-04-20T19:13:33.247Z,2025-04-20T19:13:33.247Z
73,Tapatio,,,,2025-04-12T23:22:56.885Z,2025-04-12T23:22:56.885Z
72,Skittles,,,,2025-04-12T23:08:48.998Z,2025-04-12T23:08:48.998Z
71,Nong,,,,2025-04-12T21:38:26.454Z,2025-04-12T21:38:26.454Z
70,Sunnyy D,,,,2025-04-12T21:38:01.821Z,2025-04-12T21:38:01.821Z
69,Kisco,,,,2025-04-12T21:37:04.723Z,2025-04-12T21:37:04.723Z
68,Sweetarts,,,,2025-04-03T02:45:27.375Z,2025-04-03T02:45:27.375Z
67,Laffy Taffy,,,,2025-04-03T02:42:51.522Z,2025-04-03T02:42:51.522Z
66,Más by Messi,,,,2025-04-03T02:40:52.828Z,2025-04-03T02:40:52.828Z
65,El Encanto,,,,2025-04-03T02:35:41.614Z,2025-04-03T02:35:41.614Z
64,Axxion,,,,2025-04-01T21:14:01.989Z,2025-04-01T21:14:01.989Z
63,Repone,,,,2025-04-01T21:09:42.987Z,2025-04-01T21:09:42.987Z
62,Jarritos,,,,2025-04-01T21:06:07.457Z,2025-04-01T21:06:07.457Z
61,Yogo Vera,,,,2025-04-01T20:59:05.857Z,2025-04-01T20:59:05.857Z
60,La Moderna,,,,2025-04-01T20:55:10.155Z,2025-04-01T20:55:10.155Z
59,Gamesa,,,,2025-04-01T20:51:32.207Z,2025-04-01T20:51:32.207Z
58,Gabriela,,,,2025-04-01T20:47:40.400Z,2025-04-01T20:47:40.400Z
57,Cuetara,,,,2025-04-01T20:42:37.986Z,2025-04-01T20:42:37.986Z
56,Diana,,,,2025-03-25T03:50:05.517Z,2025-03-25T03:50:05.517Z
55,Manzela,,,,2025-03-25T03:35:25.353Z,2025-03-25T03:35:25.353Z
54,Taitto,,,,2025-03-25T03:32:12.442Z,2025-03-25T03:32:12.442Z
53,Electrolit,,,,2025-03-24T23:57:51.249Z,2025-03-24T23:57:51.249Z
52,La Coculense,,,,2025-03-23T06:20:38.970Z,2025-03-23T06:20:38.970Z
51,Kidsmania,,,,2025-03-22T04:20:25.702Z,2025-03-22T04:20:25.702Z
50,Tóxic Waste,,,,2025-03-22T04:14:27.971Z,2025-03-22T04:14:27.971Z
49,Halls,,,,2025-03-22T03:48:42.421Z,2025-03-22T03:48:42.421Z
48,Chupa Chups,,,,2025-03-20T04:05:45.297Z,2025-03-20T04:05:45.297Z
47,Cosby,,,,2025-03-20T04:00:30.387Z,2025-03-20T04:00:30.387Z
46,Mr. Happy Peanut,,,,2025-03-20T03:57:25.353Z,2025-03-20T03:57:25.353Z
45,Miguelito,,,,2025-03-19T17:40:19.227Z,2025-03-19T17:40:19.227Z
44,Botanas Michoacanas,,,,2025-03-19T17:40:13.854Z,2025-03-19T17:40:13.854Z
43,Cry Baby's,,,,2025-03-18T20:22:35.819Z,2025-03-18T20:22:35.819Z
42,El Japo,,,,2025-03-18T20:18:53.144Z,2025-03-18T20:18:53.144Z
41,De la Rosa,,,,2025-03-18T18:28:17.488Z,2025-03-18T18:28:17.488Z
40,Sprite,,,,2025-03-18T18:21:32.237Z,2025-03-18T18:21:32.237Z
39,Topo Chico,,,,2025-03-18T18:14:46.843Z,2025-03-18T18:14:46.843Z
38,7 Up,,,,2025-03-18T18:07:37.564Z,2025-03-18T18:07:37.564Z
37,Mirinda,,,,2025-03-18T18:04:37.655Z,2025-03-18T18:04:37.655Z
36,Nickelodeon,,,,2025-03-18T17:56:01.005Z,2025-03-18T17:56:01.005Z
35,Joya,,,,2025-03-18T17:55:20.277Z,2025-03-18T17:55:20.277Z
34,Squirt,,,,2025-03-18T17:48:00.669Z,2025-03-18T17:48:00.669Z
33,Red Bull,,,,2025-03-18T17:42:12.225Z,2025-03-18T17:42:12.225Z
