ID,Category Name,Master Category,Products Identifier,Category Image,Created,Updated
73,Tradicional Guayaba,Candy,,,2025-10-08T23:06:15.005Z,2025-10-08T23:06:15.005Z
72,Tradicional Coco,Candy,,,2025-10-08T23:00:49.690Z,2025-10-08T23:00:49.690Z
71,Tradicional Tamarindo,Candy,,,2025-10-08T04:45:38.737Z,2025-10-08T23:00:38.900Z
70,Breath,Candy,,,2025-10-07T21:52:32.688Z,2025-10-07T21:52:32.688Z
69,Surprise,Candy,,,2025-10-07T21:45:47.439Z,2025-10-07T21:45:47.439Z
68,Mexican Candy,Candy,,,2025-10-07T21:13:34.972Z,2025-10-07T21:17:20.184Z
67,Refresco Vidrio Regular,Drinks,,,2025-10-07T20:34:36.014Z,2025-10-07T20:34:36.014Z
66,Refresco Plastico 3lt,Drinks,,,2025-10-07T20:31:50.018Z,2025-10-07T20:34:11.536Z
65,Refresco Plastico Regular,Drinks,,,2025-10-07T20:12:04.758Z,2025-10-07T20:12:04.758Z
64,Refresco Vidrio 500ml,Drinks,,,2025-10-07T20:11:21.920Z,2025-10-07T20:11:21.920Z
63,Jugos De Vidrio,Drinks,,,2025-10-07T20:02:19.543Z,2025-10-07T20:02:19.543Z
62,Coconut Drinks,Drinks,,,2025-10-07T20:02:08.821Z,2025-10-07T20:02:08.821Z
61,Aloe Vera,Drinks,,,2025-10-07T20:02:00.317Z,2025-10-07T20:02:00.317Z
60,Sueros,Drinks,,,2025-10-07T19:46:19.669Z,2025-10-07T19:46:19.669Z
59,Disposable,Grocery,,,2025-10-07T19:33:18.628Z,2025-10-07T19:33:18.628Z
57,Barcel Chicas,Snacks,,,2025-10-07T01:19:03.872Z,2025-10-07T18:21:34.300Z
56,Barcel XXL,Snacks,,,2025-10-07T01:18:41.865Z,2025-10-07T01:18:41.865Z
55,Sabritas Chicas,Snacks,,,2025-10-07T01:18:10.691Z,2025-10-07T01:18:10.691Z
54,Sabritas Regular,Snacks,,,2025-10-07T01:18:00.623Z,2025-10-07T01:18:00.623Z
53,Sabritas XXL,Snacks,,,2025-10-07T01:17:49.207Z,2025-10-07T01:17:49.207Z
52,Ramen Noodle ,Grocery,,,2025-09-06T02:57:00.116Z,2025-09-06T02:57:00.116Z
51,Casero,Snacks,,,2025-07-30T04:35:59.910Z,2025-07-30T04:35:59.910Z
50,New Mix,Drinks,,,2025-06-23T15:53:56.845Z,2025-06-23T15:53:56.845Z
17,Churros,Snacks,,,2025-05-08T07:36:00.176Z,2025-10-07T02:47:30.772Z
16,Aguas Frescas,Drinks,,,2025-03-18T17:25:32.159Z,2025-10-07T19:46:10.569Z
15,Tea,Drinks,,,2025-03-18T17:14:07.796Z,2025-03-24T20:05:43.819Z
14,Energy,Drinks,Vive 100 Original,,2025-03-18T02:07:01.280Z,2025-03-24T20:05:48.163Z
13,Milkshakes,Drinks,,,2025-03-17T19:58:48.661Z,2025-03-24T20:05:57.245Z
12,Jelly,Candy,,,2025-03-17T19:20:40.896Z,2025-03-24T20:06:15.823Z
11,Jugos ,Drinks,,,2025-02-23T08:20:44.754Z,2025-10-07T20:37:41.213Z
10,Candy + Toy,Candy,,,2025-02-23T04:18:35.070Z,2025-03-24T20:06:24.575Z
9,Candy,Candy,,,2025-02-23T03:25:14.901Z,2025-03-24T20:06:28.650Z
8,Chocolate,Candy,,,2025-02-23T03:21:02.014Z,2025-03-24T20:06:34.313Z
7,Grocery,Grocery,,,2025-02-15T04:22:44.257Z,2025-04-03T02:36:16.865Z
6,Traditional Leche,Candy,,,2025-02-13T05:35:50.964Z,2025-10-08T23:06:33.261Z
5,Cookies,Grocery,,,2025-02-13T04:52:34.520Z,2025-07-29T19:29:34.638Z
4,Michelada Cups,Drinks,,,2025-02-12T22:00:06.659Z,2025-10-07T19:33:02.267Z
3,Peanuts,Snacks,,,2025-02-04T20:55:15.965Z,2025-10-07T01:54:02.448Z
2,Refresco Vidrio 250ml,Drinks,,,2025-02-01T23:57:27.383Z,2025-10-07T20:11:47.281Z
1,Chips,Snacks,,,2025-02-01T23:57:19.566Z,2025-03-24T20:07:37.560Z
