ID,Business Name,Street Address,Ste Number #,City,State,Zip Code,Phone Number,User,Active Order,Reset Order (Leave Empty),Receiving Manager,Receiving Hours Open,Receiving Hours Closed,Opening Hours,Closing Hours,Delivery Door,Profit margin percent,Profit margin special temporary,Group Users,Manager Phone Number,Store Front,Term,Manager,Customer Online Account,First Time Online Buy,Created,Updated
85,video Tepa,2971 Jefferson st ,,napa,,94558,7072658151,Carmen@azteka.com,,,,,,,,,,,,,,,,,,2025-09-16T19:53:22.236Z,2025-09-16T19:53:22.236Z
84,La sequins multiservicios ,2599 kilburn ave,,napa,ca,94558,7073322319,Carmen@azteka.com,,,ubaldo,8,,,,,,,,,,,,,,2025-09-03T19:08:31.275Z,2025-09-04T06:22:09.955Z
83,Sunnol Corners,,,Sunol,,,,ernesto@mvicorp.net,,,,,,,,,,,,,,,,,,2025-09-03T18:29:53.644Z,2025-09-03T18:29:53.644Z
82,Kwikee Mart,2984 Jefferson st,,Napa,,94558,,Carmen@azteka.com,,,817-724-2364,,,,,,,,,,,,,,,2025-09-03T14:54:37.415Z,2025-09-03T14:54:37.415Z
81,,,,,,,,Carmen@azteka.com,,,,,,,,,,,,,,,,,,2025-09-03T14:50:18.080Z,2025-09-03T14:50:18.080Z
80,,,,,,,,Carmen@azteka.com,,,,,,,,,,,,,,,,,,2025-09-03T14:44:32.399Z,2025-09-03T14:44:32.399Z
79,Kwikee Mart,2984 Jefferson St,,napa,,94558,,Carmen@azteka.com,,,ujjal,,,,,,,,,,,,,,,2025-09-03T14:44:15.723Z,2025-09-05T16:57:58.153Z
78,Mi familia,,,Napa,,,,Carmen@azteka.com,,,,,,,,,,,,,,,,,,2025-09-03T03:53:29.194Z,2025-09-03T03:53:29.194Z
77,Mi Familia,,,Napa,,,,Carmen@azteka.com,,,,,,,,,,,,,,,,,,2025-09-03T03:52:56.798Z,2025-09-03T03:52:56.798Z
76,Economy Market,1100 Imola Ave,,Napa,CA,94559,,Viky@em.com,,,,,,,,,,,,,,,Ernesto,,,2025-06-19T18:26:53.192Z,2025-06-19T18:33:56.230Z
75,Broadway Market,20511 Broadway,,Sonoma, CA,95476,,ernesto@mvicorp.net,,,,,,,,,,,,,,,,,,2025-06-18T20:10:58.010Z,2025-06-18T20:10:58.010Z
74,Mi Familia Market, 2565 Kilburn Ave,,Napa,CA,94558,,MariLu@MF.com,,,,,,,,,,,,,,,,,,2025-06-18T17:23:51.385Z,2025-06-18T17:23:51.385Z
41,Mercado del Valle,1651 Monument Blvd,,Concord,CA,94520,,ernesto@mvicorp.net,,,,,,,,,,,,,,,,,FALSE,2025-05-02T19:55:52.756Z,2025-06-23T16:08:31.331Z
40,La Superior #9,3310 E Main St,,Stockton,CA,95205,,,,La Superior #9,,,,,,,,,,,,,,,,2025-05-02T19:54:52.771Z,2025-06-17T07:50:14.610Z
39,La Superior #8,600 Gray Ave,,Yuba City,CA,95991,,,,,,,,,,,,,,,,,,,,2025-05-02T19:54:25.317Z,2025-05-08T07:44:35.681Z
38,La Superior #7,4604 Franklin Blvd,,Sacramento,CA,95820,,,,,,,,,,,,,,,,,,,,2025-05-02T19:53:55.650Z,2025-05-02T19:53:55.650Z
37,La Superior #6,1536 Waterloo Rd,,Stockton,CA,95205,,,,,,,,,,,,,,,,,,,,2025-05-02T19:53:28.275Z,2025-05-02T19:53:28.275Z
36,La Superior #5,34 W. Court St,,Woodland,CA,95695,,,,,,,,,,,,,,,,,,,,2025-05-02T19:52:52.613Z,2025-05-02T19:52:52.613Z
35,La Superior #4,5731 Hillsdale Blvd,,Sacramento,CA,95842,,,,,,,,,,,,,,,,,,,,2025-05-02T19:52:25.048Z,2025-06-20T21:05:45.307Z
34,La Superior #3,2941 Railroad Ave,,Pittsburg,CA,94565,,,,La Superior #3,,,,,,,,,,,,,,,,2025-05-02T19:51:48.337Z,2025-05-09T06:18:17.332Z
33,Amigos Market ,229 S Lincoln Way,,Galt,CA,95632,2097453535,ernesto@mvicorp.net,Amigos Market ,Sunnol Corners,,,,,,,,,,,,,,,,2025-04-18T21:20:49.633Z,2025-09-03T18:30:06.879Z
31,Las Montañas Supermarket ,2691 Monument Blvd,,Concord ,CA ,94520,,ernesto@mvicorp.net,Las Montañas Supermarket ,Las Montañas Supermarket ,,,,,,,,,,,,,,,,2025-04-11T19:09:12.989Z,2025-05-20T19:56:26.555Z
30,Las Montañas Supermarket ,1725 Willow Pass Rd,,Concord ,CA,94520,9256877417,ernesto@mvicorp.net,,,,,,,,,,,,,,,,,,2025-04-11T18:38:05.778Z,2025-07-16T17:39:49.562Z
29,Elverta Foods and Liquor,8008 Dutch Haven Blvd ,,Elverta,CA,95626,9169919279,ernesto@mvicorp.net,,,,,,,,,,,,,,,,,,2025-04-10T02:04:25.093Z,2025-06-16T21:52:43.733Z
28,Las Montañas Supermarket ,13901 San Pablo Ave,,San Pablo,CA,94806,5109651507,ernesto@mvicorp.net,,,,,,,,,,,,,,,,,,2025-04-10T01:59:33.216Z,2025-05-11T07:29:01.747Z
27,Marias Taqueria & Meat Market,8909 Thornton Rd,,Stockton ,CA,95209,2099562840,ernesto@mvicorp.net,Marias Taqueria & Meat Market,Marias Taqueria & Meat Market,,,6,,,,,,,,,,,,,2025-04-01T23:13:39.427Z,2025-04-15T23:07:26.391Z
26,Carniceria Atoyac ,6104 Watt Ave,,North Highlands ,CA,95660,9163329020,ernesto@mvicorp.net,Carniceria Atoyac ,,,,,,,,,,,,,,,,,2025-03-31T22:16:17.849Z,2025-06-03T20:31:54.959Z
25,La Oaxaqueña Plus ,9663 Folsom Blvd,,Sacramento ,CA,95827,9165980724,ernesto@mvicorp.net,La Oaxaqueña Plus ,La Oaxaqueña Plus ,,,,,,,,,,,,,,,,2025-03-31T21:10:35.334Z,2025-05-25T07:53:11.577Z
24,Dixon Fruit Market ,7808 Batavia Rd,,Dixon,CA,95620,7076784211,ernesto@mvicorp.net,Dixon Fruit Market ,,,,,,,,,,,,,,,,,2025-03-29T18:22:19.036Z,2025-06-17T20:28:29.069Z
23,Tito,,,Vacaville,,,,ernesto@mvicorp.net,,,,,,,,,,,,,,,,,,2025-03-23T04:04:40.975Z,2025-04-13T05:06:23.910Z
22,Guatemala Market,10083 Folsom Blvd,A,Rancho Cordoba,CA,95670,9168777959,ernesto@mvicorp.net,,,,,,,,,,,,,,,,,,2025-03-23T00:26:18.168Z,2025-07-16T17:57:07.746Z
21,Toro Loco Linda Market,1822 N Beale Rd,,Marysville,CA,95901,5303298613,ernesto@mvicorp.net,,Toro Loco Linda Market,,,,,,,,,,,,,,,,2025-03-23T00:12:52.034Z,2025-06-11T22:21:56.803Z
20,El Toro Loco Market,240 Garden Hwy,,Yuba City,CA,95991,5306731500,ernesto@mvicorp.net,,El Toro Loco Market,,,,,,,,,,,,,,,,2025-03-23T00:10:17.336Z,2025-06-14T03:54:15.805Z
19,Marysville Market,513 B St,,Marysville ,CA,95901,5307994050,ernesto@mvicorp.net,,Marysville Market,,,,,,,,,,2096485368,,,,,,2025-03-22T00:44:23.489Z,2025-04-22T22:38:08.536Z
18,Los Portales Market y Taqueria,441 Bridge St,G,Yuba City,CA,95991,5307634032,ernesto@mvicorp.net,,Los Portales Market y Taqueria,,12,4,,,,,,,,,,,,,2025-03-21T23:42:24.109Z,2025-03-27T20:08:01.706Z
17,Basaldua Check Cashing,318 N Barrett Rd,,Yuba City,CA,95991,5306733631,ernesto@mvicorp.net,,,,,,,,,,,,,,,,,,2025-03-21T20:07:41.795Z,2025-06-17T00:41:42.231Z
16,Valero Gas ,9425 Locust St. ,,Knights Landing,CA,95645,5307356414,ernesto@mvicorp.net,Valero Gas ,Valero Gas ,,,,,,,,,,,,,,,,2025-03-21T16:49:11.256Z,2025-06-21T02:27:47.824Z
15,Peña's Supermercado ,123 Jamestown St,,Stockton ,CA,95207,2094750479,ernesto@mvicorp.net,,Peña's Supermercado ,,,,,,,,,,,,,,,,2025-03-20T17:57:48.253Z,2025-06-17T20:28:10.403Z
14,La Jerezana Bakery,2456 Rio Linda Blvd,300,Sacramento ,CA,95815,9169252622,ernesto@mvicorp.net,,,,7,9,,,,,,,,,,,,FALSE,2025-03-20T01:24:39.457Z,2025-07-16T20:36:35.269Z
