ID,Product Name,Category,Front Page New2,Product Image,Case Pack,Sales Price,SIze Descripton,Sold by Case?,Charola Pack,Front Page,Temp Order QTY,Charola Price,QTY on hand,SKU#,Special Offer?,Special Offer Price,Brand,Pack Description,Sales Order,Case Cost,Profit Margin %,Case Image,Unit Cost,User,Supplier,Multiple Suppliers,Purchase Order,Accounts/Customer,Location,Inventory Items Cases 2025,Out of Stock?,Store Identifier,Special Offer Volume QTY,Bench Product?,How many Sold?,Specials!,Created,Updated
678,Lz Cajeta Tradicional 1lb,Traditional Leche,TRUE,"{'url':'7ff05ab5371f7b06f79c65b36ae3be63ca77b221782fa650a77c094ff3fa6f7c.png','size':161393,'width':500,'height':500,'filename':'cajeta.png','metadata':{'width':500,'height':500,'blurHash':'eXQ]cz.8?wtR%h_3DiIT.8x]yFVrVrX8WXrqx]o#RjV@RPa#kCayof','blurHashWidth':32}}",18,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-21T22:48:21.645Z,2025-10-21T22:48:21.645Z
677,Lz Surtido 100pz,Tradicional Coco,TRUE,"{'url':'109fb7fc4d00a496393886de93db3de9666d32671808d25192745a29e3eb8882.png','size':346010,'width':500,'height':500,'filename':'5.png','metadata':{'width':500,'height':500,'blurHash':'e+PGQvj^tRxtt8%Ma#ayj[j[?wt6WAWEWAoLoff6ayWB%LWBa#bEaf','blurHashWidth':32}}",100,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-21T20:17:31.637Z,2025-10-21T20:17:31.637Z
676,Lz Banderita de Coco Envuelta,Tradicional Coco,TRUE,"{'url':'244f877b00d6c6baf69b497edb11112e536e7f8dfa3f287a56016ee6bd2d3904.png','size':138098,'width':500,'height':500,'filename':'9.png','metadata':{'width':500,'height':500,'blurHash':'euR3K4tR%N$+-;t6fkj]n+of_4njMxSxIU%NjGaeW:RjITbHt7jZt7','blurHashWidth':32}}",20,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-21T20:14:45.909Z,2025-10-21T20:14:45.909Z
675,Lz Jamoncillo Envuelto,Traditional Leche,TRUE,"{'url':'e8e32e9f379fd378410cc1ca94fe073bb72fe154fee9c9e667835a8310b71344.png','size':167309,'width':500,'height':500,'filename':'8.png','metadata':{'width':500,'height':500,'blurHash':'evQ+.=%M?wxuofxWa}Wrofoz_4RjITj[RPtloJs.R+RjNdofaJaytR','blurHashWidth':32}}",20,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-21T20:14:25.878Z,2025-10-21T20:14:25.878Z
674,Lz Alfajor Envuelto,Tradicional Coco,TRUE,"{'url':'3fac21efa392dabc321ba34949f6ef23b16ea2f79be0100d67db40f24667abd7.png','size':113968,'width':500,'height':500,'filename':'7.png','metadata':{'width':500,'height':500,'blurHash':'eoSYpvxayExuo#$+j[W;aybH.TkDMwf7V?pIbFr@ofjZM^axt8aykC','blurHashWidth':32}}",20,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-21T20:11:17.024Z,2025-10-21T20:11:17.024Z
673,Calabaza Envuelta,Tradicional Coco,TRUE,"{'url':'f3eb42ad9a312a79592e099fa21ced142e78c5acc304826b4e3ba5de3803dbb9.png','size':239804,'width':500,'height':500,'filename':'calabaza.png','metadata':{'width':500,'height':500,'blurHash':'eoQcbjxu?bxu%M-;j[V@j[WB_Nj[ITj[M{ofa}ofj[ofoej[WVayj[','blurHashWidth':32}}",24,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-21T20:06:51.314Z,2025-10-21T20:06:51.314Z
672,Camote Envuelto,Tradicional Coco,TRUE,"{'url':'036d6bb0da9679128f465d0cc01906dac8840e1969c9ac2af99af04526c08a0d.png','size':237893,'width':500,'height':500,'filename':'6.png','metadata':{'width':500,'height':500,'blurHash':'erQcSOt7.8xu%M%Mj[ayj[ay_NofIUayM{t7fkj[ayj[n$aykCfQWV','blurHashWidth':32}}",24,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-21T20:04:58.743Z,2025-10-21T20:04:58.743Z
671,Lz Palanqueta Coco,Peanuts,TRUE,"{'url':'5dfc3aea1df3e955b3e849f87e8349652559c35a1e3b1140214bcaceca45a694.png','size':214446,'width':500,'height':500,'filename':'9.png','metadata':{'width':500,'height':500,'blurHash':'e+RCrPoKx]xatRxuf6WVj[fR?wt7RPbIRiozkCoejZj?ROaeWBaxof','blurHashWidth':32}}",24,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-21T20:04:26.154Z,2025-10-21T20:04:26.154Z
670,Lz Palanqueta Cacahuate,Peanuts,TRUE,"{'url':'1781c0c1317326c607acd9d4db014d894e2bcdb25d2e2584115e6ec665cd9fee.png','size':203601,'width':500,'height':500,'filename':'11.png','metadata':{'width':500,'height':500,'blurHash':'eqRo+_t6.A%MbIxaaykCkCfR.TogITaeV@x]kCayayaxf6ayV@axt8','blurHashWidth':32}}",24,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-21T20:04:04.343Z,2025-10-21T20:04:04.343Z
669,Lz Palanqueta Almendra,Peanuts,TRUE,"{'url':'562fa2a25b1c7fdad369ae7e1abe60e3364fd9ace9995f3d3712b8d586fbc6fd.png','size':210422,'width':500,'height':500,'filename':'almendra.png','metadata':{'width':500,'height':500,'blurHash':'e%PPr[n%?^xuxut7aej[kCj[_NozMxj[M{xuofa|f6jsxuj[M{WBt7','blurHashWidth':32}}",24,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-21T20:03:33.499Z,2025-10-21T20:03:33.499Z
